,id,title,keys,normalised_text,imdb_id
0,27205,Inception,action  science fict  adventur rescu  mission  dream  airplan  pari  franc  virtual r  kidnap  philosophi  spi  allegori  manipul  car crash  heist  memori  architectur  los angel  california  dream world  subconsci,inception,tt1375666
1,157336,Interstellar,adventur  drama  science fict rescu  futur  spacecraft  race against tim  artificial intelligence (a.i.)  nasa  time warp  dystopia  expedit  space travel  wormhol  famin  black hol  quantum mechan  family relationship  space  robot  astronaut  scientist  single fath  farmer  space st  curiou  space adventur  time paradox  thought  time-manipul  father daughter relationship  2060  cornfield  time manipul  complic,interstellar,tt0816692
2,155,The Dark Knight,drama  action  crime  thriller joker  sadism  chao  secret ident  crime fight  superhero  anti hero  scarecrow  based on com  vigilant  organized crim  tragic hero  anti villain  criminal mastermind  district attorney  super pow  super villain  neo-noir,the dark knight,tt0468569
3,19995,Avatar,action  adventur  fantasi  science fict futur  societi  culture clash  space travel  space war  space coloni  tribe  romanc  alien  futurist  space  alien planet  marin  soldier  battl  love affair  natur  anti war  power rel  joy,avatar,tt0499549
4,24428,The Avengers,science fict  action  adventur new york c  superhero  shield  based on com  alien invas  superhero team  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu),the avengers,tt0848228
5,299536,Avengers: Infinity War,adventur  action  science fict sacrific  magic  superhero  based on com  space  battlefield  genocid  magical object  super pow  aftercreditssting  marvel cinematic universe (mcu)  cosmic,avengers infinity war,tt4154756
6,550,Fight Club,drama dual ident  rage and h  based on novel or book  nihil  fight  support group  dystopia  insomnia  alter ego  breaking the fourth wal  split person  quitting a job  dissociative identity disord  self destruct,fight club,tt0137523
7,118340,Guardians of the Galaxy,action  science fict  adventur spacecraft  based on com  space  orphan  adventur  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu),guardians of the galaxy,tt2015381
8,680,Pulp Fiction,thriller  crime drug deal  boxer  massag  stolen money  briefcas  crime boss  redempt  heirloom  dance competit  los angel  california  theft  nonlinear timelin  multiple storylin  neo-noir  hilari,pulp fiction,tt0110912
9,13,Forrest Gump,comedi  drama  romanc vietnam war  vietnam veteran  mentally dis  friendship  usa presid  washington dc  usa  post-traumatic stress disorder (ptsd)  waitress  china  based on novel or book  hippi  single par  parent child relationship  optim  1970  drug addict  autism  alabama  black panther parti  bus stop  family relationship  single moth  militari  anti war protest  1960  college american footbal  mother son relationship  love  feel-good,forrest gump,tt0109830
10,671,Harry Potter and the Philosopher's Stone,adventur  fantasi witch  school friend  friendship  london  england  based on novel or book  magic  boarding school  child hero  school of witchcraft  chosen on  school  shop  fantasy world  wizard  christma  based on young adult novel  owl  wizarding world,harry potter and the philosophers stone,tt0241527
11,1726,Iron Man,action  science fict  adventur middle east  superhero  arms deal  malibu  based on com  aftercreditssting  marvel cinematic universe (mcu)  counterterror,iron man,tt0371746
12,68718,Django Unchained,drama  western rescu  friendship  bounty hunt  texa  slaveri  plantat  rivalri  reveng  shootout  racism  kind  dentist  django  slave trad  aftercreditssting  black slav  agreement  19th centuri  chattanooga  german  cotton plant  plantation own  old west  western  1850  mississippi,django unchained,tt1853728
13,278,The Shawshank Redemption,drama  crime prison  friendship  police brut  corrupt  based on novel or book  hope  prison cel  delinqu  redempt  parole board  prison escap  wrongful imprison  interracial friendship  framed for murd  1940  voiceov,the shawshank redemption,tt0111161
14,299534,Avengers: Endgame,adventur  science fict  action superhero  time travel  space travel  time machin  based on com  sequel  alien invas  superhero team  marvel cinematic universe (mcu)  alternate timelin  father daughter relationship  sister sister relationship,avengers endgame,tt4154796
15,603,The Matrix,action  science fict man vs machin  martial art  dream  artificial intelligence (a.i.)  saving the world  hacker  self sacrific  virtual r  fight  propheci  truth  philosophi  dystopia  insurg  simulated reality   cyberpunk  dream world  woman director  messiah  action hero  gnostic  complex,the matrix,tt0133093
16,597,Titanic,drama  romanc epic  ship  drown  panic  shipwreck  evacu  iceberg  titan  forbidden lov  ocean lin  based on true stori  rich woman poor man  love  tragedi  tragic lov  disast  historical fict  class differ  love affair  historical ev  lifeboat  star crossed lov  sinking ship  steerag  rich snob  disaster movi  1910  sunken ship  absurd  sinist  romant  tragic,titanic,tt0120338
17,475557,Joker,crime  thriller  drama dream  street gang  societi  psychopath  clown  villain  based on com  murder  psychological thril  criminal mastermind  mental il  anarchi  character studi  clown makeup  subway train  social r  supervillain  tv host  1980  mother son relationship  origin stori  falling into mad  depress,joker,tt7286456
18,120,The Lord of the Rings: The Fellowship of the Ring,adventur  fantasi  action based on novel or book  orc  elv  dwarf  magic  loss of loved on  river  firework  mine  maze  mountain  new zealand  castl  volcano  birthday parti  addict  uncl  fugit  battl  death  blizzard  wizard  journey  ring  live action and anim  sword and sorceri  nz,the lord of the rings the fellowship of the ring,tt0120737
19,122,The Lord of the Rings: The Return of the King,adventur  fantasi  action based on novel or book  orc  elv  dwarf  braveri  suspicion  volcano  addict  honor  royalti  troll  brutal  ghost  wizard  quest  live action and anim  sword and sorceri,the lord of the rings the return of the king,tt0167260
20,11324,Shutter Island,drama  thriller  mysteri island  based on novel or book  hurrican  investig  u.s. marsh  conspiracy theori  psychiatric hospit  psychological thril  whodunit  neo-noir  1950,shutter island,tt1130884
21,106646,The Wolf of Wall Street,crime  drama  comedi corrupt  drug addict  anti hero  con man  fraud  wall street  based on true stori  rise and fal  con artist  money  stockbrok  wealthi  drug  strip  hedon  decad  corrupt  1980  sharemarket fraud  financial market  black monday  joy,the wolf of wall street,tt0993846
22,99861,Avengers: Age of Ultron,action  adventur  science fict artificial intelligence (a.i.)  superhero  based on com  sequel  superhero team  duringcreditssting  marvel cinematic universe (mcu)  fictitious countri  evil robot,avengers age of ultron,tt2395427
23,271110,Captain America: Civil War,adventur  action  science fict civil war  superhero  based on com  sequel  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu)  excit,captain america civil war,tt3498820
24,49026,The Dark Knight Rises,action  crime  drama  thriller fight  burglar  hostag  secret ident  crime fight  superhero  villai  time bomb  based on com  cover-up  vigilant  tragic hero  mobil  terror  destruct  fight  criminal underworld  cat burglar  flood,the dark knight rises,tt1345836
25,68721,Iron Man 3,action  adventur  science fict california  war on terror  superhero  malibu  based on com  tennesse  billionair  aftercreditssting  marvel cinematic universe (mcu)  christma  america,iron man 3,tt1300854
26,284052,Doctor Strange,action  adventur  fantasi magic  superhero  train  time  based on com  sorcer  doctor  neurosurgeon  wizard  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu),doctor strange,tt1211837
27,76341,Mad Max: Fury Road,action  adventur  science fict rescu  futur  australia  chase  dystopia  post-apocalyptic futur  surviv  on the run  on the road  convoy  peak oil  dark futur,mad max fury road,tt1392190
28,16869,Inglourious Basterds,drama  thriller  war guerrilla warfar  swastika  pari  franc  nazi  self sacrific  sadism  dynamit  mexican standoff  world war ii  jew persecut  masoch  anti-semit  german occupation of fr  british polit  revisionist histori  adolf hitl,inglourious basterds,tt0361748
